gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3418869557	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/08/d2a331812fa42fab88941ebeecea79a3.jpg											
3418869556	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/09/o8kl2lmrocubm6sfkrgh5aebns23bduw.jpg											
3418869554	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/10/79104be24c6a4e1b8235ef68a862ce98.jpg											
3418869553	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/01/d2e6e472170744afca0ec18ce6fa872e.jpg											
3418869552	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/08/03eab2451b93562f9c517137f270e15a.jpg											
3418869551	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/10/c4b499dcb0b7caab77fb99a6b8d37df9.jpg											
3418869550	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2020/05/rzf1o0ouykotkobxnd0i9h55ctondu35.jpg											
3418869549	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/10/9a667351b5856bc1a75a132456106ebb.jpg											
3418869548	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/08/f6a2f2e12e7446bb97836dc363cdedfd.jpg											
3418869547	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/08/6945169b06d44eee3f353da62f22db7f.jpg											
3418869546	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2016/09/f1c8470e0c9896dc682516e057794003.jpg											
3418869545	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2016/09/881f3a11906a9d506cd6970ae3da00bb.jpg											
3418869544	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2016/09/e7ac2905eaac8b9dbc6d92c61c93823f.jpg											
3418869543	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2016/09/182c372052da410937627001c93418f8.jpg											
3418869542	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2016/09/d9318cf7337a87b94b8655a8a8d86b18.jpg											
3418869541	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/05/1260ee7257-1431950214422.jpg											
3418869540	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/05/b060579e78-1431875123351.jpg											
3418869538	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/08/4cb4b63a8378442f3f86b986ca0b24c1.jpg											
3418869537	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/10/76c5fa8f7f-RK-3Wechselkr--ten-13Apr2015.jpg											
3418869536	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2017/09/3c40d6c1c73788f8b6f0519e34bfb528.jpg											
3418869535	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2017/05/7a865b16deca6e177b4cb255a1677a82.jpg											
3418869533	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2017/01/4283d801b31bea55a8a875e9b7e83d7e.jpg											
3418869532	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/08/816a692d9d1bc37b282c7e2078ede76f.jpg											
3418869531	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/05/cf253d33bc-1431444606081.jpg											
3418869529	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/07/0931053c40b7612aae3295039cdeb36a.jpg											
3418869528	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2020/08/w5jggsye00n1cb9hn6q2nxe76n3r9yji.jpg											
3418869527	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2020/06/ytwt8j3ccuv1t0jnj1bng2sm3a6emyrc.jpg											
3418869526	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/09/bdzkf8o7cmcbxcsqn1ew82h1bqfo1sl9.jpg											
3418869525	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2020/04/t6ktnfjsxq2bhgmrdhfbq0p0qyd6rsyr.jpg											
3418869524	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/09/xh18jlegjmvt9mo5j2gb27yvr7ugyvie.jpg											
3418869523	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2017/01/0332bee04aeb4dd164955f4c7bb41512.jpg											
3418869522	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2020/06/vb1ozm8nffydao0bn96pcvngf0ltouzb.jpg											
3418869520	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/08/5a28d5197f6bfa3c35a63ffce25bbdf8.jpg											
3418869518	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2017/05/db3916dcd35a623e8e1d16733005cc7a.jpg											
3418869517	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2017/05/977385b90790af691d66de8f895ad677.jpg											
3418869514	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/08/25b168ba6a23cfc2d3ba46fc8b611c3f.jpg											
